ID,CODE,DESCRIPTION,
13578,26696-5,Morphine Free [Mass/mass] in Stool,
13579,12018-8,Fetal Umbilical artery at fetus Resistivity index US.doppler,
13580,27331-8,Imipenem [Units/volume] in Unspecified specimen,
13581,38319-0,Alachlor [Mass/volume] in Water,
13582,41404-5,17-Hydroxycorticosteroids/Creatinine [Mass Ratio] in 24 hour Urine,
13583,64793-3,At the present time and/or childs eyesight and/or using both eyes and/or is [PhenX],
13584,11649-1,Fetal Mitral valve E wave/A wave US.doppler,
13585,14983-1,I (intermediate) subtype [Presence] on Red Blood Cells from Blood product unit,
13586,38400-8,Parainfluenza virus 1+2+3 Ab [Presence] in Serum,
13587,49674-5,Lymphocyte proliferation stimulated by 10 umol beryllium [Units/volume] in Blood --5 days post incubation,
13588,52409-0,Speech therapy treatment plan and/or Defined school year DateRange,
13589,14695-1,Nordoxepin [Moles/volume] in Serum or Plasma,
13590,23134-0,Histoplasma farciminosum Ab [Presence] in Serum by Hemagglutination,
13591,12120-2,Fetal Inferior vena cava Study observation US,
13592,53576-5,Personal health monitoring report Document,
13593,40766-8,Coxsackievirus B IgM Ab [Titer] in Cerebral spinal fluid --1st specimen,
13594,12418-0,Terfenadine [Mass/volume] in Serum or Plasma,
13595,38666-4,Diethylsulfate [Mass/volume] in Air,
13596,2122-0,Chymopapain [Mass/volume] in Serum,
13597,32762-7,Epithelial cells [Presence] in Unspecified specimen by Wet preparation,
13598,29346-4,Chloramphenicol [Mass/volume] in Urine,
13599,51575-9,Silver Birch recombinant (rBet v) 4 IgE Ab RAST class [Presence] in Serum,
13600,73702-3,Neisseria meningitidis serosubtype [Type] in Isolate by Immunoassay,
13601,8542-3,Radial artery - left Mean blood pressure,
13602,46804-1,Consciousness Behavior Community [OMAHA],
13603,45650-9,Osteoporosis [Minimum Data Set],
13604,814-4,Leukocytes [#/volume] in Synovial fluid by Manual count,
13605,541-3,Mycobacterium sp identified in Urine by Organism specific culture,
13606,65920-1,During these episodes of overeating and loss of control did you eat much more rapidly than normal [PhenX],
13607,21422-1,Normetanephrine [Mass/volume] in 24 hour Urine,
13608,61474-3,How often did you have tomato sauces such as spaghetti sauce or pizza with tomato sauce in past 30 days [PhenX],
13609,32989-6,Support {Dental arch}.denture.complete - Reported,
13610,15046-6,Creatine [Moles/volume] in Urine,
13611,42122-2,Pain assessment Cancer,
13612,23701-6,Canine parvovirus Ab [Presence] in Serum,
13613,4221-8,Digitoxin [Mass] of Dose,
13614,61129-3,PhenX domain - Demographics,
13615,5971-7,Plasminogen activator tissue type Ag [Mass/volume] in Platelet poor plasma by Immunologic method,
13616,22957-5,Deprecated Burkholderia mallei Ab [Presence] in Serum,
13617,57524-1,17-Ketogenic steroids [Mass/volume] in 24 hour Urine --pre dose dexamethasone,
13618,70579-8,I believe that my treatment schedule for bone disease will be stressful to me [FACIT],
13619,67720-3,Occupation family member [PhenX],
13620,9367-4,Borate [Mass/volume] in Unspecified specimen,
13621,53713-4,Purkinje cells type 1 Ab [Titer] in Cerebral spinal fluid,
13622,28674-0,Corneal indentation depth Eye - right Non contact tonometry,
13623,10736-7,Virus identified in Cerebral spinal fluid by Electron microscopy,
13624,10149-3,T wave amplitude in lead V2,
13625,15923-6,Penicillium frequentans IgE Ab RAST class [Presence] in Serum,
13626,47746-3,Serine/Amino acids.total in Serum or Plasma,
13627,1190-8,little k Ab [Presence] in Serum or Plasma from Blood product unit,
13628,33615-6,Neuronal nuclear type 1 Ab [Presence] in Serum,
13629,43585-9,ECGF1 gene mutation analysis in Blood or Tissue by Molecular genetics method Narrative,
13630,22892-4,Bovine diarrhea virus Ab [Titer] in Serum by Neutralization test,
13631,52632-7,Grip strength during 2 day assessment period Hand - left [CARE],
13632,5633-3,Copper [Mass/time] in 24 hour Urine,
13633,50908-3,Silver [Moles/mass] in Hair,
13634,3599-8,Etafedrine [Presence] in Urine,
13635,9349-2,pH total acid of Gastric fluid,
13636,73796-5,Infant activity during preductal oxygen saturation measurement,
13637,45666-5,Depression [Minimum Data Set],
13638,33237-9,Sulfonamide crystals [Presence] in Urine by Computer assisted method,
13639,20133-5,Maximum volume setting Ventilator alarm,
13640,58395-5,Oxycodone/Creatinine [Mass Ratio] in Urine,
13641,44470-3,Herpes simplex virus 1 Ag [Presence] in Anal,
13642,59880-5,Chlordiazepoxide [Moles/volume] in Gastric fluid,
13643,74234-6,HEDIS 2014 Value Sets,
13644,17904-4,Bacteria # 2 identified in Tissue by Aerobe culture,
13645,2910-8,Pyruvate dehydrogenase.cytochrome [Enzymatic activity/volume] in Serum or Plasma,
13646,10326-7,Breath rate device Vendor serial number,
13647,59518-1,Flag for Date of inpatient admission not populated Cancer,
13648,63676-1,Was there ever a time and/or because of stopping and/or cutting down on and/or or going without this drug and/or after using it steadily and/or when 2 or more of these problems occurred together [PhenX],
13649,5806-5,Pyrophosphate crystals [Presence] in Urine sediment by Light microscopy,
13650,31985-5,Vesicular stomatitis virus Ag [Presence] in Skin,
13651,43360-7,Bordetella sp Ag [Presence] in Unspecified specimen by Immunofluorescence,
13652,5046-8,Hantavirus Ab [Units/volume] in Serum,
13653,30175-4,Jamestown canyon virus Ab [Presence] in Unspecified specimen by Neutralization test,
13654,67314-5,Anyone in your child's family that has a poorer vocabulary than other family members [PhenX],
13655,46171-5,Deprecated Borrelia burgdorferi 58kD IgG Ab [Presence] in Serum,
13656,45432-2,Spends most time alone or watching TV [Minimum Data Set],
13657,50487-8,Gastrin [Mass/volume] in Serum or Plasma --3rd specimen,
13658,71527-6,Record status [ESRD],
13659,13339-7,CD8+CD56+ cells/100 cells in Blood,
13660,73810-4,CD3-CD16+CD56+HLA-DR+ (activated Natural Killer) cells/100 cells.CD3-CD16+CD56+ (Natural killer) cells in Blood by Flow cytometry (FC),
13661,49120-9,Immunodeficiency follow-up panel - Unspecified specimen by Flow cytometry (FC),
13662,5336-3,Saccharomonospora viridis Ab [Units/volume] in Serum,
13663,906-8,Blood group antigens present [Identifier] in Blood,
13664,45222-7,Methylmalonylcarnitine (C4-DC) [Moles/volume] in Dried blood spot,
13665,38695-3,1,2-Dichloroethane [Mass/volume] in Air,
13666,60029-6,West Nile virus IgG Ab avidity [Presence] in Serum by Immunofluorescence,
13667,9316-1,Western equine encephalitis virus IgM Ab [Titer] in Cerebral spinal fluid by Immunofluorescence,
13668,5281-1,Polio virus 1 Ab [Titer] in Serum by Neutralization test,
13669,66054-8,I worry about doing things that will embarrass myself or others and/or because of my eyesight [PhenX],
13670,20854-6,Equine herpesvirus 1 Ag [Units/mass] in Tissue Qualitative by Immunofluorescence,
13671,68094-2,Lately and/or because of my illness and/or some people avoided me [NeuroQol],
13672,64069-8,Critical care medicine Physician attending Hospital Note,
13673,466-3,Sulfadiazine [Susceptibility] by Serum bactericidal titer,
13674,52563-4,Deprecated Procedure list is complete,
13675,11584-0,Aureobasidium pullulans Ab [Presence] in Serum,
13676,33893-9,Karyotype [Identifier] in Bone marrow Nominal,
13677,68648-5,Child and adolescent psychiatry Hospital Consult note,
13678,45847-1,Oxygen therapy [Minimum Data Set],
13679,5157-3,Epstein Barr virus capsid IgG Ab [Units/volume] in Serum by Immunoassay,
13680,55451-9,Fibrin+Fibrinogen fragments in Platelet poor plasma,
13681,70686-1,Functional Assessment of Chronic Illness Therapy for patients with abdominal symptoms questionnaire - version 4 (FACIT-AD),
13682,71040-0,I am able to forgive others for any harm they have ever caused me in the past 7 days [FACIT],
13683,52349-8,Respiratory therapy treatment plan and/or Current level of function (narrative),
13684,72860-0,Telaprevir [Susceptibility] by Genotype method,
13685,44564-3,Influenza virus A Ag [Presence] in Nose by Immunoassay,
13686,16950-8,Herpes simplex virus 1 IgG Ab [Units/volume] in Serum --2nd specimen,
13687,7865-9,Echovirus 11 Ab [Units/volume] in Serum,
13688,3375-3,Deprecated Barbiturate screen present [Identifier] in Urine,
13689,49898-0,Metabolic syndrome [Presence] in Serum or Plasma,
13690,28028-9,Anoscopy Study observation Narrative,
13691,28970-2,Linsensitz Contact lens prescription - left,
13692,70386-8,I am bothered by gas - flatulence - in the past 7 days [FACIT],
13693,25459-9,Lead [Moles/volume] in Serum or Plasma,
13694,70006-2,Medication management note,
13695,73960-7,Bacteria identified in Mouth by Culture,
13696,31658-8,Streptococcus pyogenes enzyme Ab [Units/volume] in Serum,
13697,24494-7,Weed Allergen Mix 2 (Western ragweed+Mugwort+Lenscale+Goosefoot or Lambs quarters+English plantain) IgE Ab RAST class [Presence] in Serum by Multidisk,
13698,45108-8,Chlamydia sp Ag [Presence] in Cervix by Immunofluorescence,
13699,65905-2,Other eye field Eye - left [Retinal digital photography],
13700,53417-2,Alpha naphthylesterase [Enzymatic activity/volume] in Bone marrow,
13701,47441-1,Hepatitis C virus Ab [Presence] in Serum from donor,
13702,28996-7,Refractive power 1 Eye - left Ophthalmometer,
13703,15676-0,Dandelion IgE Ab RAST class [Presence] in Serum,
13704,57424-4,CD56 cells/100 cells in Body fluid,
13705,35147-8,Decenoate (C10:1) [Moles/volume] in Serum or Plasma,
13706,48995-5,N-acetyl-beta-glucosaminidase/Creatinine [Ratio] in Urine,
13707,28373-9,Frightened over little control [Living with HIV],
13708,860-7,A2 B Ag [Presence] on Red Blood Cells from Blood product unit,
13709,19987-7,Oxygen [Partial pressure] in Blood Postductal by Transcutaneous O2 monitor,
13710,58363-3,Alpha hydroxyalprazolam/Creatinine [Mass Ratio] in Urine,
13711,74104-1,Alpha-Amanitin + gamma-Amanitin [Mass/volume] in Urine by Immunoassay,
13712,17490-4,Progesterone [Mass/volume] in Serum or Plasma --9th specimen post XXX challenge,
13713,71383-4,Being tired made it hard for me to play or go out with my friends as much as I'd like in the past 7 days [FACIT],
13714,74101-7,Tissue inhibitor of metalloproteinases 1 [Mass/volume] in Serum or Plasma by Immunoassay,
13715,48607-6,Glucose [Mass/volume] in Serum or Plasma --30 minutes post dose fructose PO,
13716,43095-9,Anaplasma marginale Ab [Titer] in Serum,
13717,55073-1,Tissue type Ulcer.largest at most advanced stage [MDSv3],
13718,4448-7,Tolbutamide.IV [Mass] of Dose,
13719,650-2,Microscopic observation [Identifier] in Urine by Acid fast stain.Kinyoun,
13720,32580-3,Chromatin IgG Ab [Units/volume] in Serum or Plasma,
13721,59023-2,Adenosine deaminase [Enzymatic activity/volume] in Peritoneal dialysis fluid,
13722,22759-5,Platelet Ab [Titer] in Serum,
13723,26062-0,European tick borne encephalitis virus IgG Ab [Units/volume] in Serum,
13724,11490-0,Physician Discharge summary,
13725,58633-9,Cortisol [Mass/volume] in Serum or Plasma --10 AM specimen,
13726,7640-6,Pyrethrum triggered histamine release [Units/volume] in Blood,
13727,27577-6,Skilled nursing treatment plan and/or Psychiatric symptoms (narrative),
13728,74792-3,Fructose.PO [Mass] in Dose,
13729,34581-9,Calcium.ionized [Moles/volume] in Arterial blood,
13730,29740-8,Leptospira interrogans sv Szwajizak Ab [Presence] in Serum,
13731,51868-8,Thrombin time.factor substitution in Platelet poor plasma by Coagulation assay --immediately after addition of XXX,
13732,24057-2,Alpha-L-iduronidase [Enzymatic activity/mass] in Leukocytes,
13733,36919-9,ELN gene mutations tested for in Blood or Tissue by Molecular genetics method Nominal,
13734,17795-6,Potassium [Moles/volume] in Hyperal solution,
13735,25506-7,Potassium [Moles/mass] in Stool,
13736,70851-1,Burkholderia pseudomallei [Presence] in Unspecified specimen by Organism specific culture,
13737,12387-7,Primidone [Mass/volume] in Urine,
13738,41473-0,Carbamazepine 10,11-Epoxide [Mass/volume] in Dried blood spot,
13739,34540-5,Phenytoin free and total panel [Mass/volume] - Serum or Plasma,
13740,50787-1,Primary reason for assessment [Minimum Data Set (MDS) full],
13741,4825-6,HLA-B37 [Presence],
13742,28774-8,Physician code LM glasses,
13743,61518-7,How often did you take garlic and/or as a pill and/or tablet and/or or capsule [PhenX],
13744,72023-5,VR-12 Role physical (RP) score - oblique method T-score,
13745,63501-1,Current state [PhenX],
13746,40759-3,Coxsackievirus A IgM Ab [Titer] in Serum --1st specimen,
13747,52130-2,t(9;22)(q34.1;q11)(ABL1,BCR) b2a2 fusion transcript/control transcript [# Ratio] in Blood or Tissue by Molecular genetics method,
13748,985-2,Di sup(b) Ab [Presence] in Serum or Plasma from Blood product unit,
13749,60019-7,Lactate dehydrogenase [Enzymatic activity/volume] in Pericardial fluid by Lactate to pyruvate reaction,
13750,49927-7,Amylase in fluid/Amylase in serum,
13751,23880-8,Immune complex [Units/volume] in Body fluid by Raji cell assay,
13752,67243-6,Comment to describe the ear Ear - left [PhenX],
13753,50924-0,Titanium [Moles/volume] in Serum or Plasma,
13754,53247-3,Eligibility acknowledgement,
13755,59701-3,Lorazepam [Mass/volume] in Body fluid,
13756,56034-2,Hydroxylysine [Moles/volume] in Body fluid,
13757,71531-8,ESRD hospitalization panel,
13758,70067-4,Polymorphonuclear cells/100 leukocytes in Pleural fluid by Automated count,
13759,49589-5,Bacterial susceptibility panel by Gradient strip (E-test),
13760,69010-7,Benzoylecgonine [Mass/mass] in Meconium by Confirmatory method,
13761,54334-8,Stearoylcarnitine (C18) [Moles/volume] in Cerebral spinal fluid,
13762,74594-3,Hexanoylcarnitine (C6) [Enzymatic activity/mass] in Fibroblast,
13763,30482-4,Suberylglycine [Presence] in Urine,
13764,27615-4,Occupational therapy treatment plan and/or Date rehabilitation professional signed Date and time,
13765,9914-3,P' wave amplitude in lead AVL,
13766,15919-4,Deprecated Pecan or Hickory Nut IgE Ab RAST class in Serum,
13767,31356-9,Echovirus 4 Ab [Presence] in Serum,
13768,40023-4,Glucose [Mass/volume] in Serum or Plasma --23.5 hours post XXX challenge,
13769,29440-5,Left ventricular Thickness septal wall/Thickness posterior wall by US 2D,
13770,71899-9,My health is excellent [Veterans RAND],
13771,53287-9,Epithelial casts [#/volume] in Urine by Computer assisted method,
13772,24224-8,Respiratory syncytial virus Ab [Titer] in Serum by Complement fixation --1st specimen,
13773,17254-4,Mercury [Mass/volume] in Food,
13774,2093-3,Cholesterol [Mass/volume] in Serum or Plasma,
13775,58442-5,Other elements [Identifier] in Urine sediment by Light microscopy,
13776,49426-0,Papova virus SV 40 DNA [#/volume] (viral load) in Stool by Probe and target amplification method,
13777,54617-6,Long-term memory OK in last 7 days [MDSv3],
13778,54630-9,Altered level of consciousness in last 7 days [CAM.MDSv3],
13779,23898-0,Mesothelial cells [Presence] in Cerebral spinal fluid by Light microscopy,
13780,13866-9,Glucose [Mass/volume] in Serum or Plasma --5 hours post 50 g lactose PO,
13781,61912-2,I was stubborn with others in past 7 days [PROMIS],
13782,66882-2,Skin IgG Ab [Presence] in Serum by Guinea pig esophagus substrate,
13783,74686-7,Glucose [Moles/time] in 12 hour Urine,
13784,7284-3,Dog dander IgG Ab [Units/volume] in Serum,
13785,53412-3,FDA product label Residue warning section,
13786,17442-5,Phenylephrine [Mass/volume] in Serum or Plasma,
13787,65085-3,Your child is often the last to understand the point of a joke [PhenX],
13788,58933-3,Endothelial cell Ab [Presence] in Serum or Plasma by Immunofluorescence,
13789,39261-3,ENT screen finding recency CPHS,
13790,35121-3,E-10-Hydroxynortriptyline [Mass/volume] in Serum or Plasma,
13791,23357-7,Peste des petits ruminants virus Ag [Presence] in Tissue by Immune diffusion (ID),
13792,34326-9,Deprecated Lead/Creatinine [Moles/time] in Urine,
13793,10291-3,Stool collection device Vendor model number,
13794,18134-7,Left ventricular mid septum Segmental wall motion by US,
13795,60051-0,Acetophenazine [Mass/volume] in Blood,
13796,26614-8,Taurine [Moles/volume] in Cerebral spinal fluid,
13797,59861-5,SEER site-specific fact 4 [Identifier] Cancer,
13798,51272-3,CD25+CD19+ cells/100 cells in Cerebral spinal fluid,
13799,18113-1,Mitral valve Regurgitation degree by US.doppler,
13800,17597-6,Somatotropin [Mass/volume] in Serum or Plasma --52 hours post XXX challenge,
13801,40438-4,HIV 1 gp41 Ab [Presence] in Serum by Immunoassay,
13802,47078-1,Legionella pneumophila 8 IgG Ab [Titer] in Serum by Immunofluorescence,
13803,38056-8,FDA package insert Structured product laballing supplemental patient material,
13804,33107-4,Gestational age estimated from Gestational sac length by method of Nyberg 1992 (US),
13805,74774-1,Glucose [Mass/volume] in Serum and/or Plasma or Blood,
13806,55051-7,Physical restraints used in chair or out of bed - other [MDSv3],
13807,47546-7,5-Hydroxytryptophan [Moles/volume] in Cerebral spinal fluid,
13808,42126-3,Comorbidities and complications 1,
13809,46202-8,Psittacid herpesvirus 1 Ab [Presence] in Serum,
